Calamares en su tinta,55,Preparacion detallada de calamares en su tinta. Limpiar los calamares separando los tentaculos y conservando su tinta. Cortarlos en anillas y reservar. Sofreir cebolla ajo y tomate rallado a fuego lento hasta que quede una base muy tierna. Anadir los calamares y los tentaculos picados y rehogar unos minutos. Disolver la tinta en un poco de caldo y anadirla a la cazuela. Cocinar a fuego medio hasta que los calamares esten tiernos y la salsa se haya oscurecido y espesado. Servir con arroz blanco,DIFICIL,calamares;400g|cebolla;1u|ajo;2u|tomate;1u|tinta de calamar;10g|caldo;200ml
Carcamusas,70,Preparacion detallada de carcamusas. Cortar la carne de cerdo en cubos pequenos y salpimentarla. Calentar una cazuela y dorar la carne hasta sellarla bien. Anadir cebolla ajo y pimiento picados y sofreir lentamente hasta que las verduras esten tiernas. Incorporar tomate triturado y cocinar unos minutos mas. Anadir guisantes un poco de vino y caldo y cocinar a fuego medio hasta que la salsa espese y la carne quede muy tierna. Servir caliente,DIFICIL,cerdo;300g|cebolla;1u|ajo;2u|pimiento verde;1u|tomate triturado;150g|guisantes;100g|vino blanco;80ml|caldo;200ml
Lubina a la sal,40,Limpiar la lubina retirando tripas pero manteniendo cabeza y cola. Cubrir completamente el pescado con una mezcla de sal humedecida para formar una costra firme. Hornear hasta que la sal se endurezca. Romper la costra con cuidado y extraer los lomos jugosos evitando que les caiga sal. Servir inmediatamente,DIFICIL,lubina;1u|sal gruesa;1kg|limon;1u
Pollo relleno al horno,110,Lavar y vaciar cuidadosamente el pollo. Preparar un relleno con carne picada frutos secos cebolla sofrita y pan remojado. Rellenar el pollo presionando bien y cerrar con hilo o palillos. Hornear lentamente regando con sus jugos para mantenerlo jugoso. Dorar al final para obtener una piel crujiente. Reposar unos minutos antes de cortar,DIFICIL,pollo entero;1u|carne picada;150g|cebolla;1u|nueces;40g|pan;40g
Paella de marisco,60,Dorar las gambas y calamares en la paellera para extraer sabor. Retirar y sofreir cebolla ajo y pimiento picados. Añadir tomate triturado y dejar reducir. Incorporar el arroz y mezclar para que se impregne de los sabores. Añadir caldo caliente junto con mejillones y gambas y cocinar sin remover hasta que el arroz quede en su punto. Dejar reposar antes de servir,DIFICIL,arroz;200g|gambas;150g|mejillones;200g|calamares;150g|cebolla;1u|ajo;1u|pimiento rojo;1u|tomate triturado;150g|caldo;600ml
Canelones de marisco,70,Preparacion elaborada de canelones. Cocer las placas de canelon y reservar. Preparar un relleno sofriendo cebolla y ajo y anadiendo gambas mejillones y pescado picado. Cocinar hasta integrar sabores. Rellenar los canelones de forma uniforme. Preparar una bechamel espesa y cubrir los canelones. Gratinar en el horno hasta dorar la superficie,DIFICIL,placas de canelon;12u|gambas;150g|mejillones;100g|pescado blanco;150g|cebolla;1u|ajo;1u|leche;250ml|harina;20g|mantequilla;20g
Rabo de toro estofado,180,Preparacion detallada de rabo de toro. Salpimentar los trozos de rabo y dorarlos en una olla grande hasta sellar completamente. Retirar y sofreir cebolla zanahoria y puerro picados lentamente hasta que queden muy tiernos. Añadir tomate triturado y cocinar unos minutos mas. Incorporar el rabo de toro vino tinto y caldo y cocinar a fuego muy bajo durante varias horas hasta que la carne se separe del hueso. Servir con pure de patata,DIFICIL,rabo de toro;400g|cebolla;1u|zanahoria;1u|puerro;1u|tomate triturado;150g|vino tinto;200ml|caldo;300ml
Bacalao confitado,30,Colocar lomos de bacalao en una olla pequeña y cubrirlos completamente con aceite. Calentar a fuego muy bajo sin que llegue a hervir para que el pescado se cocine suavemente. Añadir ajo y laurel para aromatizar. Servir con el aceite templado y verduras al vapor,FACIL,bacalao;250g|aceite de oliva;200ml|ajo;2u|laurel;1u
Pulpo a la brasa,45,Hervir el pulpo previamente hasta que quede tierno. Cortarlo en tentaculos y pasarlos por la brasa o una sarten muy caliente para caramelizar el exterior. Añadir aceite sal pimenton y un chorrito de limon justo antes de servir,MEDIO,pulpo;300g|pimenton;5g|aceite de oliva;20ml|sal;5g|limon;1u
Cordero asado tradicional,120,Colocar las piezas de cordero en una bandeja de horno con ajo cebolla y laurel. Añadir un poco de agua en el fondo para mantener la humedad. Asar lentamente durante horas regando con sus propios jugos hasta que la carne se desprenda del hueso. Dorar los ultimos minutos para un acabado perfecto,MEDIO,cordero;400g|ajo;3u|cebolla;1u|laurel;1u|agua;100ml
Magret de pato con frutos rojos,40,Realizar cortes superficiales en la piel del magret. Cocinar primero por el lado de la piel para derretir la grasa y obtener un dorado uniforme. Preparar una salsa reduciendo frutos rojos con un poco de caldo hasta que espese. Cortar el magret en laminas y cubrir con la salsa,FACIL,magret de pato;1u|frutos rojos;150g|caldo;50ml
Solomillo Wellington,70,Sellar el solomillo en una sarten muy caliente. Preparar un duxelle picando finamente champinones cebolla y ajo y cocinandolos hasta que pierdan toda su humedad. Untar el solomillo con mostaza y cubrirlo con el duxelle y jamon. Envolver en hojaldre y hornear hasta que el exterior quede dorado y crujiente. Reposar unos minutos antes de cortar,DIFICIL,solomillo;300g|champinon;150g|cebolla;1u|ajo;1u|mostaza;10g|hojaldre;1u|jamon;80g
Coq au vin tradicional,120,Dorar el pollo en una olla grande hasta que tome color. Agregar cebolla zanahoria y ajo picados y rehogar lentamente. Añadir vino tinto y dejar reducir. Incorporar caldo y hierbas aromáticas y cocinar a fuego lento hasta que el pollo quede extremadamente tierno y la salsa espese. Servir con verduras o pan tostado,MEDIO,pollo;1u|vino tinto;250ml|cebolla;1u|zanahoria;1u|ajo;2u|caldo;300ml|laurel;1u
Confit de pato casero,90,Preparacion detallada de confit de pato. Cubrir los muslos de pato con sal y dejarlos reposar para que suelten humedad. Limpiarlos y colocarlos en una olla cubiertos con su propia grasa. Cocinar a fuego muy bajo durante varias horas hasta que la carne quede muy tierna. Retirar y dorar la piel en una sarten antes de servir,FACIL,pato;2u|sal;5g|pimienta;5g|grasa de pato;200g
Cachopo casero,45,Preparacion detallada de cachopo casero. Extender los filetes de ternera y salpimentarlos. Colocar encima lonchas de jamon y queso y cubrir con otro filete presionando bien los bordes. Pasar por harina huevo batido y pan rallado para obtener un rebozado uniforme. Freir en aceite caliente hasta que quede dorado por ambos lados. Dejar reposar un minuto antes de servir,FACIL,ternera;250g|jamon serrano;60g|queso;70g|huevo;1u|harina;30g|pan rallado;40g|aceite;30ml
Bacalao con patatas y pimientos,45,Desalar el bacalao en agua durante al menos veinticuatro horas cambiando el agua varias veces. Cortar patatas en rodajas gruesas y cocerlas ligeramente hasta que empiecen a ablandarse. En una sartén grande pochar cebolla y pimientos en tiras hasta que estén tiernos. Añadir el bacalao y cocinar unos minutos por cada lado para que suelte su jugo. Incorporar las patatas y mezclar suavemente para que no se rompan. Cocinar a fuego lento unos minutos más y servir caliente,MEDIO,bacalao;300g|patata;3u|pimiento rojo;1u|pimiento verde;1u|cebolla;1u
Caldo gallego tradicional,55,Cortar grelos patata y chorizo en trozos medianos. En una olla grande poner agua y añadir la patata y el chorizo. Cocinar hasta que la patata empiece a ablandarse. Añadir los grelos y continuar la cocción a fuego medio hasta que todos los ingredientes estén tiernos. Ajustar sal y servir muy caliente,MEDIO,grelos;200g|patata;2u|chorizo;1u
Carrilleras guisadas,80,Limpiar las carrilleras retirando el exceso de grasa. Dorarlas en una olla grande hasta sellar bien su superficie. Añadir cebolla ajo y zanahoria picados y dejar que se cocinen lentamente hasta ablandarse. Incorporar vino y reducirlo a fuego medio. Añadir caldo suficiente para cubrir y cocinar tapado hasta que las carrilleras estén completamente tiernas. Servir con puré de patata o arroz blanco,DIFICIL,carrilleras;300g|cebolla;1u|ajo;2u|zanahoria;1u|vino tinto;100ml|caldo;400ml
Garbanzos con bacalao,50,Sofreír cebolla y ajo picados en una olla con aceite. Añadir pimentón y remover rápidamente. Incorporar garbanzos cocidos y bacalao en tiras. Añadir agua o caldo y cocinar a fuego medio hasta que todos los sabores se integren. Ajustar sal y servir caliente,MEDIO,garbanzos cocidos;200g|bacalao;200g|cebolla;1u|ajo;1u|pimentón;5g
Sopa de ajo con huevo escalfado,25,Laminar los ajos y dorarlos en aceite con cuidado. Añadir pan duro en láminas y remover para que absorba el aceite. Incorporar caldo caliente y dejar cocer unos minutos hasta que el pan se deshaga ligeramente. Escalfar un huevo dentro de la sopa dejando que cuaje suavemente. Servir enseguida,FACIL,ajo;3u|pan;100g|caldo;400ml|huevo;1u
Guisantes con jamón y huevo,20,Sofreír cebolla picada en una sartén hasta que esté tierna. Añadir jamón en dados y cocinar unos minutos. Incorporar guisantes y un poco de agua y cocinar hasta que estén tiernos. Aparte preparar un huevo frito o escalfado y servirlo sobre los guisantes. Ajustar sal antes de servir,FACIL,guisantes;200g|jamón;80g|cebolla;1u|huevo;1u
Codillo al horno,75,Cocer el codillo en una olla grande con cebolla ajo laurel y agua hasta que esté tierno. Pasarlo a una bandeja de horno y añadir patatas cortadas en gajos alrededor. Hornear hasta que el codillo quede bien dorado y las patatas tiernas. Regar ocasionalmente con el jugo de cocción para mantenerlo jugoso,MEDIO,codillo;1u|patata;3u|cebolla;1u|ajo;2u
Pochas con verduras,45,Picar cebolla pimiento y zanahoria en trozos pequeños. Sofreír las verduras en una olla hasta que estén tiernas. Añadir pochas cocidas y cubrir con agua. Cocinar a fuego medio hasta que el guiso espese ligeramente. Ajustar sal y servir caliente,FACIL,pochas cocidas;200g|zanahoria;1u|cebolla;1u|pimiento verde;1u
Caldereta de cordero,70,Dorar los trozos de cordero en una olla grande para sellarlos. Añadir cebolla ajo y pimiento picados y cocinar hasta que suelten todo su aroma. Incorporar vino y dejar reducir. Añadir agua o caldo y cocinar a fuego lento hasta que el cordero esté muy tierno. Servir con patatas cocidas,DIFICIL,cordero;300g|cebolla;1u|ajo;2u|pimiento rojo;1u|vino tinto;50ml|caldo;300ml
Menestra de verduras,35,Lavar y cortar coliflor zanahoria judías verdes y alcachofa en trozos. Cocer cada verdura por separado para mantener su textura. Sofreír ajo picado y añadir todas las verduras mezclándolas suavemente. Añadir un poco de agua y espesar con harina si se desea. Servir caliente,FACIL,coliflor;1u|zanahoria;2u|judías verdes;100g|alcachofa;2u|ajo;2u
Cocido madrileño completo,90,Poner los garbanzos en remojo durante toda la noche para que ablanden. Colocar en una olla grande pollo chorizo hueso de jamón y morcillo si se desea junto con los garbanzos escurridos. Cubrir con agua y llevar a ebullición retirando la espuma para limpiar el caldo. Añadir zanahoria patata y repollo cortado y cocinar a fuego lento durante más de una hora hasta que todo esté muy tierno. Separar caldo verduras y carnes y servir primero la sopa después los garbanzos con las verduras y por último las carnes,MEDIO,garbanzos;200g|pollo;1u|chorizo;1u|hueso de jamón;1u|zanahoria;1u|patata;2u|repollo;150g
Estofado de cerdo con patatas,65,Cortar la carne en dados y salpimentarla. Dorar los trozos en una olla grande para sellar los jugos. Retirar momentáneamente y sofreír cebolla ajo y zanahoria muy picados hasta que estén tiernos. Añadir de nuevo la carne junto con las patatas chascadas y cubrir con agua o caldo. Cocinar a fuego lento removiendo ocasionalmente hasta que la carne esté muy tierna y la salsa haya reducido. Servir acompañado de pan para aprovechar la salsa,MEDIO,cerdo;300g|zanahoria;1u|cebolla;1u|ajo;2u|patata;3u
Sopa castellana tradicional,30,Cortar pan duro en láminas finas y reservar. Laminar ajo y dorarlo en una olla con aceite a fuego suave sin dejar que se queme. Añadir el pan y mezclar para que se impregne con el aceite y el ajo. Incorporar caldo caliente y cocinar unos minutos hasta que el pan se deshaga ligeramente. Añadir un huevo por persona y dejarlo cocer sin remover hasta que cuaje suavemente. Servir muy caliente,MEDIO,pan;100g|ajo;3u|caldo;400ml|huevo;1u
Carne guisada con verduras,60,Dorar la carne en una olla grande para sellar su sabor. Añadir cebolla pimiento y zanahoria picados y remover hasta que la verdura suelte todo su aroma. Incorporar agua o caldo y cocinar a fuego lento durante largos minutos para que la carne se ablande. Añadir patatas troceadas y continuar la cocción hasta que queden tiernas. Ajustar sal y presentar el guiso bien caliente,MEDIO,carne;300g|cebolla;1u|pimiento verde;1u|zanahoria;1u|patata;2u
